"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,735,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,1096639,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,4765019,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,92456861.00000001,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,750118,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,14016.000000000002,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,1327655,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,1537493,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,645.9999999999999,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,3880452,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,13928,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1010,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,46497,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,2828317,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,68605.00000000001,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,1142134,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,37701,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,264737,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,104037,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,52823,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,2936209,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,166534,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,515741,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,331515,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,12123,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,481546,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,94332,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,8201527.000000001,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,57249,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,286256,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,457027,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,66887,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,37830,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,751534,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,7080.999999999998,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,154925,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,53953,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,12779787,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,4849,1995
