"HS2","HS2 ID","HS4","HS4 ID","Section","Section ID","Trade Value","Year"
"Edible fruits, nuts & fruit peels",208,"Melons",20807,"Vegetable Products",2,12659909,1995
"Edible fruits, nuts & fruit peels",208,"Apples and Pears",20808,"Vegetable Products",2,113670859,1995
"Edible fruits, nuts & fruit peels",208,"Pitted Fruits",20809,"Vegetable Products",2,1123130,1995
"Edible fruits, nuts & fruit peels",208,"Other Fruits",20810,"Vegetable Products",2,8489596,1995
"Edible fruits, nuts & fruit peels",208,"Frozen Fruits and Nuts",20811,"Vegetable Products",2,30579504,1995
"Edible fruits, nuts & fruit peels",208,"Preserved Fruits and Nuts",20812,"Vegetable Products",2,5330040,1995
"Edible fruits, nuts & fruit peels",208,"Dried Fruits",20813,"Vegetable Products",2,74265625,1995
"Edible fruits, nuts & fruit peels",208,"Citrus and Melon Peels",20814,"Vegetable Products",2,2052640,1995
"Coffee, tea, mate & spices",209,"Coffee",20901,"Vegetable Products",2,5059387,1995
"Coffee, tea, mate & spices",209,"Tea",20902,"Vegetable Products",2,339571974,1995
"Coffee, tea, mate & spices",209,"Mate",20903,"Vegetable Products",2,20604,1995
"Coffee, tea, mate & spices",209,"Pepper",20904,"Vegetable Products",2,96975893,1995
"Coffee, tea, mate & spices",209,"Vanilla",20905,"Vegetable Products",2,160302,1995
"Coffee, tea, mate & spices",209,"Cinnamon",20906,"Vegetable Products",2,40218653,1995
"Coffee, tea, mate & spices",209,"Cloves",20907,"Vegetable Products",2,331506,1995
"Coffee, tea, mate & spices",209,"Nutmeg, mace and cardamons",20908,"Vegetable Products",2,1664600,1995
"Coffee, tea, mate & spices",209,"Spice Seeds",20909,"Vegetable Products",2,11570321,1995
"Coffee, tea, mate & spices",209,"Spices",20910,"Vegetable Products",2,78074162,1995
"Cereals",210,"Wheat",21001,"Vegetable Products",2,2641322,1995
"Cereals",210,"Barley",21003,"Vegetable Products",2,479342,1995
"Cereals",210,"Oats",21004,"Vegetable Products",2,44851,1995
"Cereals",210,"Corn",21005,"Vegetable Products",2,25322305,1995
"Cereals",210,"Rice",21006,"Vegetable Products",2,24726491,1995
"Cereals",210,"Sorghum",21007,"Vegetable Products",2,13685775,1995
"Cereals",210,"Buckwheat",21008,"Vegetable Products",2,41375095,1995
"Products of the milling industry",211,"Wheat Flours",21101,"Vegetable Products",2,57201201,1995
"Products of the milling industry",211,"Cereal Flours",21102,"Vegetable Products",2,5749443,1995
"Products of the milling industry",211,"Cereal Meal and Pellets",21103,"Vegetable Products",2,1819942,1995
"Products of the milling industry",211,"Processed Cereals",21104,"Vegetable Products",2,3939647,1995
"Products of the milling industry",211,"Potato Flours",21105,"Vegetable Products",2,518379,1995
"Products of the milling industry",211,"Legume Flours",21106,"Vegetable Products",2,5605280,1995
"Products of the milling industry",211,"Malt",21107,"Vegetable Products",2,3665505,1995
"Products of the milling industry",211,"Starches",21108,"Vegetable Products",2,22924214,1995
"Products of the milling industry",211,"Wheat Gluten",21109,"Vegetable Products",2,6155215,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Soybeans",21201,"Vegetable Products",2,111740542,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Ground Nuts",21202,"Vegetable Products",2,310164506,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Copra",21203,"Vegetable Products",2,608,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Linseed",21204,"Vegetable Products",2,625358,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Rapeseed",21205,"Vegetable Products",2,535345,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sunflower Seeds",21206,"Vegetable Products",2,5723986,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Other Oily Seeds",21207,"Vegetable Products",2,169012963,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Oil Seed Flower",21208,"Vegetable Products",2,1317632,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Sowing Seeds",21209,"Vegetable Products",2,34963790,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Hops",21210,"Vegetable Products",2,5871973,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Perfume Plants",21211,"Vegetable Products",2,440283064,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Locust beans, seaweed, sugar beet, cane, for food",21212,"Vegetable Products",2,186300691,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Cereal Straws",21213,"Vegetable Products",2,2891506,1995
"Oils seeds, oleaginous fruits, grains, straw & fodder",212,"Forage Crops",21214,"Vegetable Products",2,11830980,1995
"Natural gums, resins & other vegetable extracts",213,"Insect Resins",21301,"Vegetable Products",2,13190501,1995
"Natural gums, resins & other vegetable extracts",213,"Vegetable Saps",21302,"Vegetable Products",2,56744894,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Plaiting Materials",21401,"Vegetable Products",2,53125266,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable Stuffing Materials",21402,"Vegetable Products",2,353040,1995
"Vegetable plaiting materials & products, n.e.s.",214,"Vegetable material for brooms and brushes",21403,"Vegetable Products",2,574937,1995
